countryid,GDP_2020
1487,367.3349681666099
1488,36.26052434005795
1489,376.9861402237012
1490,252.21283193914405
1491,85.87322569453082
1492,182.30572884735233
1493,77.11332647034583
1494,666.1749372097943
1495,214.70624797748275
1496,121.88655864452267
1497,96.19521903606653
1498,170.70522037395338
1499,117.78642253737362
1500,16.026839482211116
1501,205.29833912237072
1502,79.85834715024842
1503,125.53509215751326
1504,388.4704919425805
1505,99.8569255949636
1506,68.07761604571425
1507,109.6693029173057
1508,99.26787531960981
1509,104.37536617587033
1510,204.8012321231883
1511,104.35319751511493
1512,190.56026574835906
1513,74.78241232707774
1514,263.1890074494753
1515,142.04628471712815
1516,188.75462695173533
1517,148.0620762692501
1518,136.11064027646182
1519,155.27198259296054
1520,66.55418053166153
1521,38.03171142404783
1522,36.118921722346926
1523,69.67807549981488
1524,76.01209808426347
1525,68.42891590404753
1526,116.87933081471165
1527,149.23831046771258
1528,69.09480871235526
1529,69.09111977931231
1530,122.70974486424954
1531,80.97099402405618
1532,27.93748353269894
1533,78.74596861193803
1534,42.51070547806374
1535,93.9895242164663
1536,60.00832268634905
1745,2574.758322839456
1746,258.7658427864768
1747,188.87471612374037
1748,230.3841445953244
1749,387.01028334906675
1750,38.03192555806782
1751,236.80698166677217
1752,727.7072235814884
1753,619.0905446261929
1754,262.21605014958413
1755,1093.258433368631
1756,200.0482562760253
1757,133.63341471219007
1758,108.80198489459869
1759,97.93530340540767
1760,86.99212165717219
1761,97.3149629076697
1762,93.30043966513351
1763,96.87137139094501
1764,240.91834896430333
1765,152.29694571097315
1766,489.4295587970352
1767,305.41190540237574
1768,458.93849239202007
1769,144.20069479666162
1770,184.56902568019404
1771,105.33772661986853
1772,123.3249836121659
1773,106.79224976432776
1774,89.91934418717854
1775,48.96811003512475
1776,105.61827561391163
1777,144.884587834379
1778,105.38467715194972
1779,63.06284025791154
1780,82.83172751493775
1781,228.2161773482749
1782,48.72917838972211
1783,424.59699600761735
1784,172.64933428601736
1785,101.67907108058131
1786,117.7357417609279
1787,115.3460668330155
1788,84.70506841969535
1789,71.22067099673576
1790,160.43032731543437
1791,396.51598278698617
1792,343.48645651760205
1793,322.8431382947721
1794,432.9978216244091
1795,355.4117677705492
1796,255.2610317412171
1797,513.6984513320275
1798,212.8214940571068
1799,197.84354292198861
1800,68.02553332019637
1801,64.82110680213931
1802,53.692204423283115
1803,84.57399823350049
1804,124.25161307509323
1805,101.08641018885614
1806,61.06774128220596
1807,78.5350368669514
1808,46.21661293857727
1809,117.92508278456971
1810,78.43144329138737
1811,79.10435812542251
1812,47.58111624891849
1813,154.5311694176049
1814,45.776574588504474
1815,226.27766278514866
1816,161.29042447848872
1817,74.00064010708638
1818,103.5439696482107
1819,133.0214561500049
1820,93.99755660968314
1821,124.04692310136348
1822,98.84280943622012
1823,177.17471488100915
1824,129.19139783186566
1825,184.7402360130083
1826,74.93206999675606
1537,31.82260802420392
1538,284.8805151308514
1539,654.3262433491886
1540,1234.2143425338074
1541,192.1317266661023
1542,251.4252369643292
1543,228.3363851085811
1544,221.25923167650316
1545,142.62237284789467
1546,777.7777524646949
1547,234.34206013917972
1548,238.90612550750942
1549,121.4607483468188
1550,185.9079406459225
1551,137.49471093948927
1552,86.92640411494253
1553,193.9547808582135
1554,0.0
1557,156.26679132104283
1558,158.33402336072578
14,167.55724142870255
15,390.24636426254335
16,289.03846364419127
17,287.9590079784711
18,139.57827257906462
19,155.10227684242818
20,84.9486680854108
21,96.30971720588376
22,233.8431709026524
23,250.68050691075175
24,259.3530292425925
25,305.36071908117356
26,277.2461518821142
27,343.3514618578179
28,364.9664638867696
29,254.54949587565608
30,151.88333178080455
31,1206.9419124736883
32,603.6160802764543
33,722.1601105427441
34,484.4785910919293
35,507.48414706309825
36,348.3719551229375
37,541.2448973254328
38,484.1481884356889
39,203.54704315799196
40,513.7322003619444
41,770.2208428583797
42,839.6907379220352
43,274.2802476914807
44,158.04972076888987
45,227.1654071059907
46,434.6448761435549
47,153.53906095244787
48,190.96644899147358
49,483.48067784026495
50,173.5124547382985
51,134.36135497202886
52,198.55428821843816
53,411.7385175235749
54,777.057534466532
55,91.60105438594431
56,292.5226909111527
57,65.72319252719574
58,92.9641661963348
59,137.6616151378837
60,113.76177776099058
61,182.3993946610131
62,100.75612697419753
63,650.5393877354741
64,24.764546879415416
65,398.473711867593
66,122.81389630316808
67,90.80634036351864
68,61.02919162291203
69,157.03399765351782
70,65.90602521999807
71,60.79296617454027
72,356.0961987773835
73,88.03151318412527
74,37.7558917165848
75,66.90715843546582
76,56.475434158144665
77,157.9724909758801
78,147.37513150138201
79,135.98696287062137
80,91.0641770839457
81,302.3116269574149
82,46.54156904932068
83,213.08845225446254
84,631.8292724740036
85,289.73472168749754
86,57.20709771212614
87,158.2198365249508
88,165.6717010450395
89,108.20304294985425
90,270.47632582685486
91,42.76068655100761
92,99.30496964633387
93,63.177146200469934
94,160.80349257928336
95,153.2302634257483
96,85.27469339414853
97,128.07633703197635
98,117.09949641237581
99,32.819149359340535
100,220.24246612962634
101,400.3793534574465
102,327.8846735156488
103,122.25730238751319
104,143.13748871315667
105,97.19216967369938
106,224.6221876694271
107,109.9727742168374
108,58.988625701162285
109,62.84503084769849
110,61.53223032002392
111,109.04171584296341
112,48.47917203874632
113,194.53332683436565
114,207.47775947422565
115,166.26282796396703
116,141.99872041592494
117,118.203099050577
118,42.14177488863531
119,36.853358646558874
120,321.9662060876825
121,180.82809888120468
122,224.43051934003248
123,304.71114956933775
124,142.89915099204745
125,141.03074666038978
126,206.1987113939428
127,172.92539020815713
128,44.66702022174095
129,622.1832968819137
130,350.4872617990685
131,161.15913600318493
132,60.67352694548629
133,192.46076965518677
134,189.4688435687489
135,128.91333746574546
136,89.86326245998069
137,267.8744591857536
138,90.44563300835026
139,299.8170369059638
140,510.40772063838267
141,1172.4333273551508
142,310.7372997568226
143,1034.9526292863184
144,425.7927087448234
145,253.97714557916035
146,392.9930283999799
147,100.06494084279925
148,273.04914048878925
149,183.228053666822
150,432.43818256550117
151,490.3542813265374
152,103.90922541412414
153,127.7382360294964
154,124.14680748922679
155,67.85316039396176
156,80.59798418860437
157,128.1137957997159
158,312.1208462299424
159,202.9274873016008
160,143.61310143187367
161,195.2048436774396
162,185.18987671788392
1043,2858.493650734843
1044,1139.432071102618
1045,987.9167080768881
1046,1438.120077666626
1047,1541.631048656764
1048,1050.156234141281
1049,1045.156031323708
1050,51.39511523939152
1051,439.6059755176357
1052,249.64745973709898
1053,391.00471469440356
1054,537.7040760553491
1055,397.85628830421524
1056,825.9034874317965
1057,527.6816746724135
1058,645.9544822673065
1059,224.6569171825006
1060,371.4533262919515
1061,310.7289437602476
1062,1116.954017623875
1063,273.22782842779156
1064,549.0581355508751
1065,555.218602524388
1066,167.91312187908062
1067,336.18033262134344
1068,348.56009646433006
1069,1081.730891492351
1070,411.46362950395377
1071,204.66281446380827
1072,633.9065597690716
1073,446.7955493778687
1074,594.9356876287173
1075,257.8597407266547
1076,368.4663039348654
1077,501.1479696280256
1078,1002.5569930549929
1079,217.7282178377572
1080,263.058367125249
1081,307.89777012947565
1082,261.7407585682347
1083,919.049923703453
1084,219.07381125156104
1085,218.2928447643455
1086,161.11124197551106
1087,286.743696845811
1088,329.411902433359
1089,322.30871302427266
1090,406.6533549442692
1091,56.769567416772624
1092,318.7255209372636
1093,589.973865273123
1094,334.3448480360909
1095,394.7887761838781
1096,621.2331234624891
1097,403.58833049066044
1098,585.8695078090526
1099,355.4602881542237
1100,293.4660878044579
1101,161.9630087092293
1102,244.89296680130582
1103,209.79156441064913
1104,601.6480337339457
1106,949.0766969733247
1107,286.6590748791423
1108,427.6876644479713
1109,1005.6830750767576
1110,630.4949998303637
1111,70.2101915434758
1112,410.05165510836724
1113,293.3074713907239
1114,593.3253105989588
1115,52.57124452728386
1116,533.0356567559247
1117,435.8417588328248
1118,169.24856533135804
1119,30.311587401441432
1120,588.5954661958654
1121,688.4217134787438
1122,181.98547920340818
1123,352.56522037817
1124,312.94761753475944
1125,393.8027832841321
1126,253.61874515720044
1127,320.21623190613843
1128,165.90802251831073
1129,361.26286278056705
1130,407.1411449905036
1131,221.09436419158666
1132,531.9947232437025
1133,535.2073754722023
1134,244.3267268204236
1135,188.11895072483313
1136,175.9599915309108
1137,235.98431715582396
1138,340.0427337702509
1139,310.0475577334139
1140,574.756753680395
1141,675.6514062584232
1142,252.04592216781566
1143,245.58916472556663
1144,180.8256296608549
1145,249.826100634751
1146,323.8620239603592
1147,298.69807184366397
1148,191.82444490551825
1149,278.1169553677117
1150,38.531060193238545
1151,225.86324586177014
1152,303.59633447029404
1153,575.072569664421
1154,204.24424594911872
1155,340.915614790987
1156,353.67333122736915
1157,318.4717244497055
1158,342.7784926457224
1159,409.87653183420565
1160,29.317312765388056
1161,375.7768164751185
1162,327.36141768771205
1163,285.9479636286339
1164,246.35832269797623
1165,568.8082953687355
1166,326.2773020714917
1167,291.4167011385491
1168,290.7190097189927
1169,203.39760403116978
464,2343.326605488709
465,384.49710096101694
466,188.66505886596704
467,65.44503099582634
468,276.4225191359247
469,160.55794892093846
470,61.871877406747835
471,74.30110198298236
472,83.5871500329678
473,330.79462217620426
474,690.0576962243117
475,234.59988979664737
476,367.57856940514904
477,358.3828752528233
478,132.39651495432457
479,84.37395874810684
480,61.726828050262526
481,74.1060921356877
482,72.91692428503269
483,70.74202490488176
484,38.89747160520225
485,92.12013263990893
486,121.8246511776076
487,170.80034929809406
488,95.24831561830847
489,118.31338237438814
490,138.69963582952985
491,159.0633881280041
492,69.72508871621264
493,46.91042914299899
494,156.83086436958365
495,66.13616046411288
