country position,Hazard,starttime,endtime,Intensity
1878,heatwave,2015-02-24,2015-03-04,294.0
1878,extreme wind,2015-02-23,2015-03-05,21.0
1879,extreme wind,2005-02-12,2005-02-21,20.0
1879,extreme wind,2009-02-09,2009-03-01,25.0
1879,heatwave,2013-02-05,2013-03-09,302.0
1879,extreme wind,2010-02-28,2010-03-07,18.0
1879,heatwave,2010-02-21,2010-03-09,304.0
1879,extreme wind,2013-04-04,2013-04-06,17.0
1879,coldwave,2007-12-24,2008-02-25,246.0
1879,heatwave,2007-03-27,2007-04-04,299.0
1879,heatwave,2010-04-09,2010-04-15,297.0
1879,heatwave,2014-04-13,2014-04-27,302.0
1879,flood,2007-06-06,2007-08-17,1.5
1879,coldwave,2016-01-21,2016-01-31,248.0
1879,coldwave,2011-03-17,2011-04-29,266.0
1879,extreme wind,2015-04-17,2015-04-19,22.0
1879,heatwave,2010-03-19,2010-03-26,294.0
1879,extreme wind,2015-03-31,2015-04-04,17.0
1879,heatwave,2013-02-21,2013-03-10,296.0
1879,extreme wind,2015-02-23,2015-03-05,21.0
1879,flood,2009-05-10,2009-07-01,1.0
1879,extreme wind,2005-02-22,2005-02-23,20.0
1879,heatwave,2007-12-26,2008-01-27,287.0
1879,heatwave,2015-02-24,2015-03-04,294.0
1879,extreme wind,2004-03-24,2004-03-31,22.0
1879,heatwave,2008-09-16,2008-09-26,301.0
1879,extreme wind,2016-04-22,2016-04-23,18.0
1880,coldwave,2007-12-24,2008-02-25,246.0
1880,heatwave,2013-02-05,2013-03-09,302.0
1880,heatwave,2010-01-28,2010-02-16,302.0
1880,extreme wind,2007-03-30,2007-04-02,15.0
1880,coldwave,2016-01-21,2016-01-31,248.0
1880,extreme wind,2005-02-12,2005-02-21,20.0
1880,heatwave,2010-02-21,2010-03-09,304.0
1880,extreme wind,2010-02-28,2010-03-07,18.0
1880,heatwave,2014-04-13,2014-04-27,302.0
1880,extreme wind,2009-02-09,2009-03-01,25.0
1880,extreme wind,2015-04-17,2015-04-19,22.0
1880,flood,2007-06-06,2007-08-17,1.5
