countryid,value
1080,815112.2812596078
1099,599923.700793385
1104,1221951.452663141
1039,1406055.4351890956
982,737794.3575401767
2018,19817.170260411367
2218,105005.87088539304
2180,466737.3421882611
2262,138470.87647422135
2174,500279.356652462
254,186746.6747946781
193,481380.78967649175
191,1031816.1307702634
1089,604884.5740138803
1040,662930.0747666762
983,888522.644865355
980,380259.86996999854
1004,1131995.0303535433
999,923557.3497259128
2238,26481.942010434028
2232,13983.76927221139
2189,130549.82935943714
2193,214072.8771900432
2263,86254.56669900476
2186,104096.12269598761
218,201225.19550021747
1076,1138976.4032047552
978,1177621.1981386365
994,1113201.9778756248
2223,75331.57958387787
2220,66537.86690116527
2203,292114.1003951226
2194,246825.72562159266
2175,261243.5297082641
2056,151920.57701586667
2036,143103.45489866365
214,588574.5961655518
215,431845.9816777003
974,1268271.1924157576
984,1170588.0533828412
1003,984248.0847470305
2016,8327.049557820317
2191,334182.5611960933
2161,310881.49444034585
2160,352949.4249982592
2159,348394.0421882318
2179,229229.43778280064
2178,156911.55191588408
2177,154205.75770656628
2067,206752.66660185065
2065,245295.00657275028
2064,395299.0995595298
219,210981.75810937982
1092,465243.18982898205
1083,1037608.1635150115
1082,501534.26316187164
1086,492976.65417928353
1088,764001.2346522306
1042,784124.2648144718
1034,1622097.7835161646
1038,849110.3428698826
2055,159926.28000787966
2035,517407.4724601164
2034,180109.90534332144
213,490242.1588155837
212,731165.6185037931
220,215455.80049189806
1097,481435.9769726434
1093,901328.5635630147
1091,106355.65819967451
1084,466193.4653885964
975,1488026.1836151269
950,2127908.012346317
998,2290445.361386679
1005,727837.2241319121
2227,59299.23507740595
2176,308690.81503685535
2054,390061.0694432859
1096,673627.2216430153
1087,858759.923544055
1041,604262.8744948076
977,711817.3993254896
951,1552705.4654120503
2198,247243.47582890786
2137,443083.28574546106
2140,183709.36850182593
2043,290653.3768662254
2068,531040.4310112358
2066,836003.0371381377
1094,681151.2686350577
1085,789218.3721084022
1037,782518.9585883006
976,312273.8966008805
1002,1732937.1382788233
1007,662515.9106003989
583,830632.4597789742
2197,114308.53977973067
2138,524994.9249497798
2057,177367.0472757373
2063,769340.7471016569
223,439735.4784386909
221,169621.82812474226
1116,462109.3488450675
1058,555525.978746885
1098,565415.2479307015
1095,542312.8523925336
1055,805302.0246994136
1035,1667929.9987333114
2221,43580.6061575675
2163,317654.416996193
2139,480280.69478154264
2136,298155.2915686786
2044,52760.40678322366
2045,89801.28693391039
2053,133059.21838064646
1057,454657.9678299808
1046,1148264.9267836637
1043,3963414.5286133965
1044,858286.0590711967
1050,182065.05011450907
1054,1528642.9108193174
1036,1278323.3131401637
558,1208963.5632465114
559,934801.4332857043
1000,884545.4441365036
2202,47421.88699808859
2135,1243802.1158040056
2052,336562.8096966029
2049,441621.72178261034
2060,608163.98745098
222,339339.3790660983
1115,81923.4693995562
1117,657094.4383170952
1119,13083.634815489944
1045,949567.0802600903
1134,605035.9737449444
584,1843478.5507929942
2235,49422.32817207216
2164,372288.98540027434
2038,1231181.1020855391
2039,333297.2508790968
2051,663384.5605449721
2050,714587.496388155
2028,5573575.904559578
1120,946011.4085500732
1056,1035609.8582405302
1065,830364.369833951
1051,1108857.3942511023
582,318051.38523972087
2040,340881.9195606288
2041,327117.9235607812
2033,276522.4918355598
2061,297938.2191163317
2070,286816.28718999657
2062,139395.99163113357
1063,507064.86883398547
1062,1427283.9976103802
1049,1087612.5992985535
1047,982610.8163404557
1048,734006.847479652
1053,782529.4095771362
1136,477582.68984272314
1133,1526925.0519560045
1138,870028.1466011782
746,723416.6140277409
560,2731846.077996975
563,1652460.1313530267
585,665770.1478397028
2171,539092.4364381994
1064,812016.4376779923
1052,575952.6438780407
1135,635989.7349847932
2229,38776.33792121216
2037,776053.3304847284
2058,362174.0607043627
2059,733184.4963267031
2048,476472.343146494
2118,403364.3655609536
1109,1178117.40686116
1139,987656.486719074
747,1304236.426364078
562,935751.5440924249
586,660982.9541781134
595,397783.7727096585
2201,54881.323653955
1708,89602.05935920887
2200,93264.78736928177
2166,251683.2143391222
2046,110075.28721207258
2042,575863.5262487968
2029,1834753.4326658223
2030,567236.4476579864
1118,343489.27229204326
1060,749109.6743804413
1061,631506.9878245774
1072,833777.7884346549
1110,727582.6945178172
1151,533366.0502789402
1140,1307539.4505450348
557,168263.67479806815
621,1516791.4120187338
596,597923.9731086205
2230,35995.81901067361
2170,351096.09854645596
2172,48337.554471155876
2031,1118237.9871501164
2032,899102.6964245492
2117,579477.5485285138
1107,593354.1024941045
1157,1064810.8860094752
1137,619035.9701940606
2173,156436.85531226295
2047,140604.60876939006
1059,310904.3269075007
1070,586397.302667181
1106,1415481.7259906125
1158,899206.8168939566
714,148028.22860832125
745,1130134.0134487872
561,1254118.8500485003
620,945333.436360363
598,699980.1045592049
1721,85242.16244295657
2199,214236.37594410515
2167,240355.82669115622
1069,2055471.7435649182
1067,544056.2974426507
1108,633443.0672916308
761,1390666.5589109145
715,2613164.864796649
748,1165690.7027090008
619,49263.91176388246
590,806345.304269022
2231,30929.661855468305
2123,156327.71976668265
2119,270462.53382715944
1113,559542.1847432135
1152,694610.5374090195
1156,1245039.2759195364
622,1122776.8560411236
589,1264047.4319311297
597,941893.72617301
2234,70612.00442509029
2093,43333.66028056113
2110,100351.62851074882
1124,439281.3089757265
1066,216587.01120638635
1155,828102.7133539902
623,1058633.6278244148
2017,14147.6500915825
2233,137186.28257795546
1701,113997.91749591351
2165,466507.54659541574
2087,287974.7690862144
2094,23366.042687787092
2121,441251.4695953766
2120,234537.9654206156
1122,614906.4797221177
1068,822372.1962904425
1112,673021.9970921038
1114,1300178.6250287245
1153,1297776.4394937872
1150,118327.93209219523
762,1185242.294859463
749,778408.8546398014
588,887542.7286784521
1707,82933.72556598263
2168,177918.1905175597
2091,176556.07316765407
2089,333878.18827219825
2086,421108.8569657383
2122,353055.6691738946
1126,635690.6919579505
1123,987545.1157722626
1111,94455.17416426633
587,805257.0145365172
599,758152.9740381605
2169,316195.8824340273
1161,664446.9930052116
1159,1263815.1165279497
