县编号,0-0.1 负荷密度 出现次数,0-0.1 负荷密度 总和,0.1-1 负荷密度 出现次数,0.1-1 负荷密度 总和,1-6 负荷密度 出现次数,1-6 负荷密度 总和,6-15 负荷密度 出现次数,6-15 负荷密度 总和,15-30 负荷密度 出现次数,15-30 负荷密度 总和,大于30 负荷密度 出现次数,大于30 负荷密度 总和,大于80 负荷密度 出现次数,大于80 负荷密度 总和
1195,14,0.6860609629984357,1174,198.8542588570767,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1196,0,0.0,334,239.88694464691469,26,27.59351403553221,0,0.0,0,0.0,0,0.0,0,0.0
1197,26,2.5617509836539103,1122,516.5981696024795,4,4.63847635410254,0,0.0,0,0.0,0,0.0,0,0.0
1198,0,0.0,688,353.67427211031065,32,61.45784074516431,0,0.0,0,0.0,0,0.0,0,0.0
1199,0,0.0,208,94.8606583234724,366,794.7033624365021,2,14.364558733144818,0,0.0,0,0.0,0,0.0
1200,0,0.0,1230,627.5150457806942,210,270.08932089913503,0,0.0,0,0.0,0,0.0,0,0.0
1201,0,0.0,1186,433.49362465609204,2,2.1729858971257334,0,0.0,0,0.0,0,0.0,0,0.0
1202,0,0.0,1584,528.0225917843344,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1203,0,0.0,160,103.40463167725719,272,296.56237603514785,0,0.0,0,0.0,0,0.0,0,0.0
1204,0,0.0,414,152.64223635226006,18,19.28239368877164,0,0.0,0,0.0,0,0.0,0,0.0
1205,2,0.0,682,152.3439471285417,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1206,0,0.0,84,35.660805761328994,132,162.59672709556332,0,0.0,0,0.0,0,0.0,0,0.0
1207,0,0.0,218,176.70711843483704,142,183.19110543842837,0,0.0,0,0.0,0,0.0,0,0.0
1208,0,0.0,416,194.46018826402485,16,18.297573412597522,0,0.0,0,0.0,0,0.0,0,0.0
1209,0,0.0,195,172.40453559459962,353,430.5630351174342,28,196.6991369255147,0,0.0,0,0.0,0,0.0
1210,0,0.0,383,233.3736171258611,121,199.92911905130626,0,0.0,0,0.0,0,0.0,0,0.0
1211,0,0.0,676,283.59927719878823,80,196.8259991382422,0,0.0,0,0.0,0,0.0,0,0.0
1212,0,0.0,1008,351.74069422117316,108,180.41939571918581,0,0.0,0,0.0,0,0.0,0,0.0
1213,0,0.0,230,76.96238043495582,166,275.48403137554146,0,0.0,0,0.0,0,0.0,0,0.0
1214,0,0.0,498,223.15179124941696,6,6.1720924413728815,0,0.0,0,0.0,0,0.0,0,0.0
1215,0,0.0,712,293.14229242546486,188,230.73556851602368,0,0.0,0,0.0,0,0.0,0,0.0
1216,0,0.0,580,298.66156493702306,140,218.12698810403901,0,0.0,0,0.0,0,0.0,0,0.0
1217,0,0.0,106,45.960771208056265,38,70.98871578157716,0,0.0,0,0.0,0,0.0,0,0.0
1218,0,0.0,216,73.26036757866612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1219,0,0.0,576,157.22269893805503,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1220,106,8.874246628367136,650,140.65718866361286,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1221,2,0.17054301895567736,502,108.57476018987384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1222,0,0.0,648,229.1402196810016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1223,0,0.0,792,266.0252783145705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1224,0,0.0,640,240.85770064199858,8,12.821600011681737,0,0.0,0,0.0,0,0.0,0,0.0
1225,112,9.451328351002095,1146,297.06190737623336,2,3.3916307655367834,0,0.0,0,0.0,0,0.0,0,0.0
1226,0,0.0,394,255.97494383775202,38,40.70901861950112,0,0.0,0,0.0,0,0.0,0,0.0
1227,0,0.0,324,227.9324261963672,180,251.59193463773667,0,0.0,0,0.0,0,0.0,0,0.0
1228,0,0.0,138,107.10303163991708,186,241.2269147140403,0,0.0,0,0.0,0,0.0,0,0.0
1229,0,0.0,360,133.06925575338468,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1230,2,0.0,644,200.41722600794142,2,2.2071944475522773,0,0.0,0,0.0,0,0.0,0,0.0
1231,0,0.0,786,173.776697750261,6,8.762458530424428,0,0.0,0,0.0,0,0.0,0,0.0
1232,0,0.0,492,382.01219667251206,120,136.63378998788792,0,0.0,0,0.0,0,0.0,0,0.0
1233,40,3.948753213303143,2172,531.6305448802296,200,230.54505389833446,0,0.0,0,0.0,0,0.0,0,0.0
1234,2,0.0,898,327.729640562096,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1235,62,4.9497285436874545,1306,218.33478431194095,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1236,1052,87.57230623987245,604,153.90311209912127,36,41.84463070298714,0,0.0,0,0.0,0,0.0,0,0.0
1237,22,2.108226434190838,770,87.64669571976016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1238,280,22.818713262206874,872,115.04518429076478,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1239,694,57.43618994745094,242,38.26234416936284,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1240,122,10.213466490196367,706,97.57086819955974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1241,136,12.215484893430528,332,63.66216745737437,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1242,640,46.61334553698129,332,49.55365174903215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1243,0,0.0,246,186.57800537914764,546,669.480314085861,0,0.0,0,0.0,0,0.0,0,0.0
1244,0,0.0,266,187.1053202232801,490,605.0045445724191,0,0.0,0,0.0,0,0.0,0,0.0
1245,0,0.0,736,484.8066330160025,128,141.80660711422578,0,0.0,0,0.0,0,0.0,0,0.0
1246,938,25.27240860183479,142,17.200626789391038,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1247,0,0.0,0,0.0,106,299.58912781398635,2,28.03773569286981,4,75.25791178390706,24,1465.0977749323947,8,843.4028583663139
1248,0,0.0,210,112.62211568510085,438,901.2448573754064,0,0.0,0,0.0,0,0.0,0,0.0
1249,0,0.0,76,63.76369942556043,232,631.526682991707,46,555.1379314006364,48,969.5797903648381,20,816.6621859461516,10,983.1596339504182
1250,0,0.0,98,54.89967832910799,940,1699.9451994927388,2,12.139953390240562,2,37.1882969761006,2,83.14433584105731,0,0.0
1251,92,8.795934986017613,1302,968.8336569176271,226,249.77642707610622,0,0.0,0,0.0,0,0.0,0,0.0
1252,0,0.0,94,72.838512133545,90,239.19851515248234,32,232.25784550315743,0,0.0,0,0.0,0,0.0
1253,0,0.0,224,98.50528351754943,164,205.12332918538655,22,196.31238287988063,18,318.4682207581237,4,150.52760089942245,0,0.0
1254,0,0.0,822,485.9685808403655,78,92.31128259292156,0,0.0,0,0.0,0,0.0,0,0.0
1255,0,0.0,792,229.15746993990126,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1256,0,0.0,648,116.96945253791318,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1257,0,0.0,290,265.2010951166565,430,497.3497768595936,0,0.0,0,0.0,0,0.0,0,0.0
1258,0,0.0,30,18.54797230055339,42,101.43510676916098,36,279.0675582507714,0,0.0,0,0.0,0,0.0
1259,0,0.0,600,325.45944077381665,62,141.51739960170912,66,607.1796850540436,32,709.6373319741533,30,1161.3825617149262,2,170.04683707623678
1260,0,0.0,474,328.26528869679595,138,196.92389938425947,0,0.0,0,0.0,0,0.0,0,0.0
1261,0,0.0,8,3.993674275888096,64,100.65503659744608,0,0.0,0,0.0,0,0.0,0,0.0
1262,0,0.0,108,66.78247281950422,34,118.61088101015928,2,12.681353116319887,0,0.0,0,0.0,0,0.0
1263,0,0.0,842,516.5027586328245,22,62.33062105812252,0,0.0,0,0.0,0,0.0,0,0.0
1264,0,0.0,706,418.1164737789731,74,286.24044809669647,76,646.830466971636,8,156.10021296859128,0,0.0,0,0.0
